fullVisitorId,date,revenue
9624789523147347433,20170324,43.0
4560048854801219223,20170324,65.0
9826816980924031810,20170324,42.0
3126428444962673497,20170324,27.0
8017527495949351517,20170324,14.0
287908533589459604,20170324,111.0
8160024468956674004,20170324,140.0
0396381842924367514,20170324,24.0
4432170800264031771,20170324,303.0
4670469315542047941,20170324,177.0
8545209036610253088,20170324,71.0
4525601131116258606,20170324,37.0
9350198009120928098,20170324,69.0
7040224635883969893,20170324,121.0
1094337368520422037,20170324,98.0
129249086143937145,20170324,85.0
6754683731104767908,20170324,193.0
8866035740350491393,20170324,117.0
9037017629148514881,20170324,249.0
480596774651345765,20170324,112.0
6571994191266464601,20170324,17.0
780755997851042697,20170324,44.0
0209588266013545629,20170324,65.0
8013820676715807864,20170324,36.0
1717181767260918300,20170324,105.0
044206379216818403,20170324,49.0
1957458976293878100,20170324,8681.0
7227131899750346684,20170324,23.0
3136743370771670654,20170324,95.0
5224582846346969715,20170324,26.0
522359013237328012,20170103,96.0
6179415313155508546,20170103,23.0
963205524675368812,20170103,57.0
7385533995680230366,20170103,24.0
528933380496819911,20170103,28.0
072595322994470645,20170103,169.0
2449425615576273633,20170103,52.0
8004196057645719276,20170103,47.0
9373768824735614756,20170103,15.0
6821649352225770256,20170103,53.0
029131400687020410,20170103,139.0
2793295987972453232,20170103,23.0
7738303201145232755,20170103,20.0
0689221493301196449,20170103,34.0
4443963979157579061,20170103,17.0
6558070663026702303,20170103,26.0
6213994431207095726,20170103,672.0
1029117971501759934,20170103,58.0
7807217189456163612,20170103,33.0
9423576751760739793,20170103,156.0
9332559619940886845,20170103,27.0
2926339495422227598,20170103,68.0
4482624745886118154,20170103,109.0
1591673974231051081,20170103,247.0
6450328915033226096,20170103,248.0
6214747534469142657,20170103,62.0
155711517942843047,20170103,107.0
1636432037261130042,20170103,210.0
088945266147609238,20170103,1755.0
1286257134641757416,20161116,29.0
6842524797824315132,20161116,33.0
9283837604660716391,20161116,26.0
1521151312115546535,20161116,78.0
4031311251122718376,20161116,22.0
7131006808160305551,20161116,180.0
9998996003043230595,20161116,67.0
2144851320605513754,20161116,32.0
7974773514952361623,20161116,92.0
8985948032553964111,20161116,23.0
6145717965471437632,20161116,53.0
7133939846118520732,20161116,26.0
6118933348572020566,20161116,63.0
7242769996237605248,20161116,6.0
442139279401914275,20161116,37.0
1599573902620912792,20161116,17.0
0128830210468179660,20161116,41.0
0317661710948460673,20161116,47.0
3409777638949712171,20161116,62.0
1700283249840383567,20161116,20.0
029131400687020410,20161116,759.0
8392868908637772371,20161116,63.0
4835082938415020542,20161116,755.0
971721932033460269,20161116,10.0
2535148739500640560,20161116,94.0
0635884302803759037,20161116,56.0
5623565664347898852,20161116,46.0
5531467304590272597,20161116,76.0
5430879576678891336,20161116,194.0
5302602900050864654,20161116,43.0
6760732402251466726,20161116,1115.0
016600374334482677,20161116,32.0
1410336440849356236,20161116,1998.0
8289823105768261598,20160909,112.0
8747852564220610479,20160909,13.0
1065722595338308305,20160909,25.0
6561335265655404482,20160909,44.0
7657116022844782849,20160909,35.0
067516997967648879,20160909,27.0
2255733734516957926,20160909,322.0
9220356678930617046,20160909,81.0
8232554790596957878,20160909,21.0
7970701992007145468,20160909,182.0
3891062223801208797,20160909,36.0
8221394973703658443,20160909,95.0
5594550862521912148,20160909,42.0
7718460789580849626,20160909,27.0
5100514931968748842,20160909,47.0
3689862038819738204,20160909,397.0
9153569028584301784,20160909,36.0
5519604416801831347,20160909,97.0
4257424863358354998,20160909,72.0
9347594099928593114,20160909,72.0
1832154460054501004,20160909,23.0
0097216552247524030,20160909,29.0
331053449765638219,20160909,80.0
5574984436191734530,20160909,275.0
9330433473613640440,20160909,47.0
8542904760257700339,20160909,3.0
3252602877117379170,20160909,65.0
2416762481769496280,20160909,38.0
2352233424314349714,20160909,56.0
3915384889161784454,20160909,158.0
247613008812895646,20160909,94.0
5332341363747831465,20160909,80.0
5492630606781186660,20160909,93.0
9415047435363681557,20160909,356.0
3296839339658161126,20160909,688.0
5179406468603236023,20160909,117.0
9020183156357919977,20160909,389.0
6342272643504385153,20160909,224.0
3447003791318310120,20160909,32.0
1735733574864942932,20170203,115.0
4664319107970739921,20170203,22.0
4033167138991049828,20170203,20.0
3831723766212483216,20170203,66.0
3798576854040953242,20170203,188.0
1029323150011228171,20170203,95.0
1271739936649587420,20170203,246.0
9562948220302753056,20170203,60.0
689752308200679975,20170203,23.0
4262513756531099314,20170203,8.0
8708692061686223002,20170203,24.0
9228091811246318377,20170203,312.0
8092136662808852323,20170203,541.0
2840155464434051520,20170203,32.0
9013296840842675812,20170203,72.0
9393064695401243962,20170203,30.0
4995924842281653133,20170203,129.0
6954387213546558639,20170203,28.0
3087800167641443127,20170203,63.0
914215065327707355,20170203,21.0
0175318834283875506,20170203,470.0
3346100016851964940,20170203,35.0
3746316960999614032,20170203,400.0
1814166460229302850,20170203,1180.0
8287144117447582539,20170203,115.0
5828638042083405599,20170203,70.0
28714765282885780,20170203,92.0
7365317501077088080,20170203,87.0
088808220383842202,20170203,198.0
5944473218831449800,20170115,19.0
0802037866085868199,20170115,21.0
2698909979431470269,20170115,26.0
9631155213272957768,20170115,14.0
1590294463633434388,20170115,23.0
8696957377453802990,20170115,25.0
5137390233868271533,20161009,35.0
4256454348213820288,20161009,458.0
5400673732426511835,20161009,22.0
9561553646862286320,20161009,23.0
1323958521128957096,20161009,37.0
5361867695189880188,20161009,40.0
3199504068027820416,20161009,6.0
2575256090311301096,20161009,44.0
9583857723785815226,20161009,64.0
5655215807507744512,20161009,170.0
6339056581294773242,20161009,78.0
3461504855909388246,20161009,18.0
9977123823906435841,20161009,22.0
896930630452283097,20161009,22.0
7184569784224376022,20161009,205.0
9958703050592305834,20161009,49.0
9001429991110397286,20161009,124.0
3453250245781882271,20161009,146.0
0998815629012556775,20161009,281.0
0211945437070044601,20161009,70.0
527512175460551498,20161009,13.0
6022958438984686375,20161009,27.0
708033509620826351,20160819,55.0
2120739286981065717,20160819,15.0
4904345009175675441,20160819,49.0
5756208439960248003,20160819,84.0
091281264079346677,20160819,22.0
3029326010969063453,20160819,58.0
6817220325980493863,20160819,23.0
8623452188249826507,20160819,55.0
9152155335060859016,20160819,45.0
7308573211245935680,20160819,59.0
0238771388615303644,20160819,123.0
6314971062232350467,20160819,49.0
813947615217983131,20160819,27.0
9102289582475822657,20160819,222.0
9420235641168987849,20160819,31.0
8551387579355778160,20160819,54.0
2049524527367859557,20160819,25.0
0182664823417063218,20160819,181.0
7497654040371634388,20160819,16.0
0136876972401975041,20160819,2.0
4957244955018681860,20160819,45.0
5481905937199610748,20160819,80.0
3870523357204139831,20160819,52.0
196856185999787180,20160819,226.0
9367883304718826385,20160819,1.0
5134534584402689966,20160819,89.0
5541410550636269362,20160819,47.0
3514808551180416782,20160819,137.0
7336599802387183829,20160819,120.0
3026421208569347766,20160819,6.0
6531277595713835073,20160819,63.0
2583318836591839554,20160819,526.0
0040332680018799680,20160819,44.0
646691864025431846,20160819,97.0
3434700380216102535,20160819,301.0
5223607251994179242,20160819,187.0
816701130373045728,20160819,116.0
9840650149470197060,20160819,42.0
7360285709701515415,20160819,29.0
7830344002776874199,20160819,11.0
8843025310060521600,20160819,103.0
0239563913417476259,20160819,31.0
4488234939678302618,20160819,25.0
4485584998912315434,20160819,14.0
3861180496381149226,20160819,36.0
8197492801805308758,20160819,59.0
5433393935590550771,20160819,94.0
2252819581596939503,20160819,25.0
2232874791267570747,20160819,57.0
2105686286348643381,20160819,63.0
2548634172843791136,20161123,20.0
9938760478533661623,20161123,67.0
1439992538528236582,20161123,15.0
1455159374538425132,20161123,60.0
9345236291311011831,20161123,18.0
8863754637499294953,20161123,26.0
5264936572592547766,20161123,28.0
9242714675091818589,20161123,39.0
0466834914358216815,20161123,10.0
1276106485558955732,20161123,43.0
9523142287027067833,20161123,88.0
8502947184347760637,20161123,57.0
1111470101899387454,20161123,13.0
1173975954464050303,20161123,26.0
065245131914018329,20161123,27.0
9725941383382274621,20161123,666.0
2840425200216568867,20161123,29.0
9029794295932939024,20161123,813.0
82422266360134560,20161123,19.0
8986419064533048234,20161123,436.0
5617770153245303309,20161123,2657.0
2752688798072608210,20161123,417.0
2998921651332045258,20161123,78.0
7857037940227176848,20161123,487.0
908686415962464519,20161123,353.0
8706577222412136430,20161123,30.0
6373560301419479159,20161123,60.0
5643846137033139935,20161123,21.0
8436426603099391262,20161123,809.0
0850923639048818616,20161123,3.0
